sample_id,dip_fasta,hap1_fasta,hap2_fasta,hifi_reads_all,ont_reads_all,child_ilm,hifi_cov,downsample,ont_cov,hifi_downsampled_bam,finalPhasedDipBai,finalPhasedDipBam,DeepPolisherModelFiles,DeepPolisherDocker
mGorGor1_verkko_model1,s3://genomeark/species/Gorilla_gorilla/mGorGor1/assembly_verkko_1.4.1r/mGorGor1.dip.20230906.fasta.gz,s3://genomeark/species/Gorilla_gorilla/mGorGor1/assembly_verkko_1.4.1r/mGorGor1.pat.20230906.fasta.gz,s3://genomeark/species/Gorilla_gorilla/mGorGor1/assembly_verkko_1.4.1r/mGorGor1.mat.20230906.fasta.gz,"[""s3://genomeark/species/Gorilla_gorilla/mGorGor1/assembly_verkko_1.4.1r/alignments/winnowmap.analysis-dip.HiFi.bam""]","[""s3://genomeark/species/Gorilla_gorilla/mGorGor1/assembly_verkko_1.4.1r/alignments/winnowmap.analysis-dip.ONT_nomethyl.bam""]","[""s3://genomeark/species/Gorilla_gorilla/mGorGor1/assembly_verkko_1.4.1r/alignments/bwa.analysis-dip.illumina.dedup.bam""]",141.048,0.28,108.68,/private/groups/patenlab/mira/t2t_primates_polishing/reads/hifi/mGorGor1/winnowmap.analysis-dip.HiFi.bam.40x.bam,/private/groups/patenlab/mira/t2t_primates_polishing/hprc_DeepPolisher/mGorGor1/analysis/hprc_DeepPolisher_outputs/mGorGor1.hifi.to.diploid.asm.PHARAOH.bam.bai,/private/groups/patenlab/mira/t2t_primates_polishing/hprc_DeepPolisher/mGorGor1/analysis/hprc_DeepPolisher_outputs/mGorGor1.hifi.to.diploid.asm.PHARAOH.bam,/private/groups/patenlab/mira/hprc_polishing/data/DeepPolisher_models/checkpoint-201.tar.gz,google/deepconsensus:polisher_v0.0.8_12122023
mPanPan1_verkko_model1,s3://genomeark/species/Pan_paniscus/mPanPan1/assembly_verkko_1.4.1r/mPanPan1.dip.20230906.fasta.gz,s3://genomeark/species/Pan_paniscus/mPanPan1/assembly_verkko_1.4.1r/mPanPan1.pat.20230906.fasta.gz,s3://genomeark/species/Pan_paniscus/mPanPan1/assembly_verkko_1.4.1r/mPanPan1.mat.20230906.fasta.gz,"[""s3://genomeark/species/Pan_paniscus/mPanPan1/assembly_verkko_1.4.1r/alignments/winnowmap.analysis-dip.HiFi.bam""]","[""s3://genomeark/species/Pan_paniscus/mPanPan1/assembly_verkko_1.4.1r/alignments/winnowmap.analysis-dip.ONT.bam""]","[""s3://genomeark/species/Pan_paniscus/mPanPan1/assembly_verkko_1.4.1r/alignments/bwa.analysis-dip.illumina.dedup.bam""]",161.139,0.25,369.961,/private/groups/patenlab/mira/t2t_primates_polishing/reads/hifi/mPanPan1/winnowmap.analysis-dip.HiFi.bam.40x.bam,/private/groups/patenlab/mira/t2t_primates_polishing/hprc_DeepPolisher/mPanPan1/analysis/hprc_DeepPolisher_outputs/mPanPan1.hifi.to.diploid.asm.PHARAOH.bam.bai,/private/groups/patenlab/mira/t2t_primates_polishing/hprc_DeepPolisher/mPanPan1/analysis/hprc_DeepPolisher_outputs/mPanPan1.hifi.to.diploid.asm.PHARAOH.bam,/private/groups/patenlab/mira/hprc_polishing/data/DeepPolisher_models/checkpoint-201.tar.gz,google/deepconsensus:polisher_v0.0.8_12122023
mPanTro3_verkko_model1,s3://genomeark/species/Pan_troglodytes/mPanTro3/assembly_verkko_1.4.1r/mPanTro3.dip.20230906.fasta.gz,s3://genomeark/species/Pan_troglodytes/mPanTro3/assembly_verkko_1.4.1r/mPanTro3.hap1.20230906.fasta.gz,s3://genomeark/species/Pan_troglodytes/mPanTro3/assembly_verkko_1.4.1r/mPanTro3.hap2.20230906.fasta.gz,"[""s3://genomeark/species/Pan_troglodytes/mPanTro3/assembly_verkko_1.4.1r/alignments/winnowmap.analysis-dip.HiFi.bam""]","[""s3://genomeark/species/Pan_troglodytes/mPanTro3/assembly_verkko_1.4.1r/alignments/winnowmap.analysis-dip.ONT.bam""]","[""s3://genomeark/species/Pan_troglodytes/mPanTro3/assembly_verkko_1.4.1r/alignments/bwa.analysis-dip.illumina.dedup.bam""]",84.5195,0.47,341.213,/private/groups/patenlab/mira/t2t_primates_polishing/reads/hifi/mPanTro3/winnowmap.analysis-dip.HiFi.bam.40x.bam,/private/groups/patenlab/mira/t2t_primates_polishing/hprc_DeepPolisher/mPanTro3/analysis/hprc_DeepPolisher_outputs/mPanTro3.hifi.to.diploid.asm.PHARAOH.bam.bai,/private/groups/patenlab/mira/t2t_primates_polishing/hprc_DeepPolisher/mPanTro3/analysis/hprc_DeepPolisher_outputs/mPanTro3.hifi.to.diploid.asm.PHARAOH.bam,/private/groups/patenlab/mira/hprc_polishing/data/DeepPolisher_models/checkpoint-201.tar.gz,google/deepconsensus:polisher_v0.0.8_12122023
mPonAbe1_verkko_model1,s3://genomeark/species/Pongo_abelii/mPonAbe1/assembly_verkko_1.4.1r/mPonAbe1.dip.20230906.fasta.gz,s3://genomeark/species/Pongo_abelii/mPonAbe1/assembly_verkko_1.4.1r/mPonAbe1.hap1.20230906.fasta.gz,s3://genomeark/species/Pongo_abelii/mPonAbe1/assembly_verkko_1.4.1r/mPonAbe1.hap2.20230906.fasta.gz,"[""s3://genomeark/species/Pongo_abelii/mPonAbe1/assembly_verkko_1.4.1r/alignments/winnowmap.analysis-dip.HiFi.bam""]","[""s3://genomeark/species/Pongo_abelii/mPonAbe1/assembly_verkko_1.4.1r/alignments/winnowmap.analysis-dip.ONT.bam""]","[""s3://genomeark/species/Pongo_abelii/mPonAbe1/assembly_verkko_1.4.1r/alignments/bwa.analysis-dip.illumina.dedup.bam""]",126.857,0.32,209.229,/private/groups/patenlab/mira/t2t_primates_polishing/reads/hifi/mPonAbe1/winnowmap.analysis-dip.HiFi.bam.40x.bam,/private/groups/patenlab/mira/t2t_primates_polishing/hprc_DeepPolisher/mPonAbe1/analysis/hprc_DeepPolisher_outputs/mPonAbe1.hifi.to.diploid.asm.PHARAOH.bam.bai,/private/groups/patenlab/mira/t2t_primates_polishing/hprc_DeepPolisher/mPonAbe1/analysis/hprc_DeepPolisher_outputs/mPonAbe1.hifi.to.diploid.asm.PHARAOH.bam,/private/groups/patenlab/mira/hprc_polishing/data/DeepPolisher_models/checkpoint-201.tar.gz,google/deepconsensus:polisher_v0.0.8_12122023
mPonPyg2_verkko_model1,s3://genomeark/species/Pongo_pygmaeus/mPonPyg2/assembly_verkko_1.4.1r/mPonPyg2.dip.20230906.fasta.gz,s3://genomeark/species/Pongo_pygmaeus/mPonPyg2/assembly_verkko_1.4.1r/mPonPyg2.hap1.20230906.fasta.gz,s3://genomeark/species/Pongo_pygmaeus/mPonPyg2/assembly_verkko_1.4.1r/mPonPyg2.hap2.20230906.fasta.gz,"[""s3://genomeark/species/Pongo_pygmaeus/mPonPyg2/assembly_verkko_1.4.1r/alignments/winnowmap.analysis-dip.HiFi.bam""]","[""s3://genomeark/species/Pongo_pygmaeus/mPonPyg2/assembly_verkko_1.4.1r/alignments/winnowmap.analysis-dip.ONT.bam""]","[""s3://genomeark/species/Pongo_pygmaeus/mPonPyg2/assembly_verkko_1.4.1r/alignments/bwa.analysis-dip.illumina.dedup.bam""]",81.0193,0.49,375.83,/private/groups/patenlab/mira/t2t_primates_polishing/reads/hifi/mPonPyg2/winnowmap.analysis-dip.HiFi.bam.40x.bam,/private/groups/patenlab/mira/t2t_primates_polishing/hprc_DeepPolisher/mPonPyg2/analysis/hprc_DeepPolisher_outputs/mPonPyg2.hifi.to.diploid.asm.PHARAOH.bam.bai,/private/groups/patenlab/mira/t2t_primates_polishing/hprc_DeepPolisher/mPonPyg2/analysis/hprc_DeepPolisher_outputs/mPonPyg2.hifi.to.diploid.asm.PHARAOH.bam,/private/groups/patenlab/mira/hprc_polishing/data/DeepPolisher_models/checkpoint-201.tar.gz,google/deepconsensus:polisher_v0.0.8_12122023
mSymSyn1_verkko_model1,s3://genomeark/species/Symphalangus_syndactylus/mSymSyn1/assembly_verkko_1.4.1r/mSymSyn1.dip.20230906.fasta.gz,s3://genomeark/species/Symphalangus_syndactylus/mSymSyn1/assembly_verkko_1.4.1r/mSymSyn1.hap1.20230906.fasta.gz,s3://genomeark/species/Symphalangus_syndactylus/mSymSyn1/assembly_verkko_1.4.1r/mSymSyn1.hap2.20230906.fasta.gz,"[""s3://genomeark/species/Symphalangus_syndactylus/mSymSyn1/assembly_verkko_1.4.1r/alignments/winnowmap.analysis-dip.HiFi.bam""]","[""s3://genomeark/species/Symphalangus_syndactylus/mSymSyn1/assembly_verkko_1.4.1r/alignments/winnowmap.analysis-dip.ONT.bam""]","[""s3://genomeark/species/Symphalangus_syndactylus/mSymSyn1/assembly_verkko_1.4.1r/alignments/bwa.analysis-dip.illumina.dedup.bam""]",98.0202,0.41,310.033,/private/groups/patenlab/mira/t2t_primates_polishing/reads/hifi/mSymSyn1/winnowmap.analysis-dip.HiFi.bam.40x.bam,/private/groups/patenlab/mira/t2t_primates_polishing/hprc_DeepPolisher/mSymSyn1/analysis/hprc_DeepPolisher_outputs/mSymSyn1.hifi.to.diploid.asm.PHARAOH.bam.bai,/private/groups/patenlab/mira/t2t_primates_polishing/hprc_DeepPolisher/mSymSyn1/analysis/hprc_DeepPolisher_outputs/mSymSyn1.hifi.to.diploid.asm.PHARAOH.bam,/private/groups/patenlab/mira/hprc_polishing/data/DeepPolisher_models/checkpoint-201.tar.gz,google/deepconsensus:polisher_v0.0.8_12122023
mGorGor1_verkko_model2,s3://genomeark/species/Gorilla_gorilla/mGorGor1/assembly_verkko_1.4.1r/mGorGor1.dip.20230906.fasta.gz,s3://genomeark/species/Gorilla_gorilla/mGorGor1/assembly_verkko_1.4.1r/mGorGor1.pat.20230906.fasta.gz,s3://genomeark/species/Gorilla_gorilla/mGorGor1/assembly_verkko_1.4.1r/mGorGor1.mat.20230906.fasta.gz,"[""s3://genomeark/species/Gorilla_gorilla/mGorGor1/assembly_verkko_1.4.1r/alignments/winnowmap.analysis-dip.HiFi.bam""]","[""s3://genomeark/species/Gorilla_gorilla/mGorGor1/assembly_verkko_1.4.1r/alignments/winnowmap.analysis-dip.ONT_nomethyl.bam""]","[""s3://genomeark/species/Gorilla_gorilla/mGorGor1/assembly_verkko_1.4.1r/alignments/bwa.analysis-dip.illumina.dedup.bam""]",141.048,0.28,108.68,/private/groups/patenlab/mira/t2t_primates_polishing/reads/hifi/mGorGor1/winnowmap.analysis-dip.HiFi.bam.40x.bam,/private/groups/patenlab/mira/t2t_primates_polishing/hprc_DeepPolisher/mGorGor1/analysis/hprc_DeepPolisher_outputs/mGorGor1.hifi.to.diploid.asm.PHARAOH.bam.bai,/private/groups/patenlab/mira/t2t_primates_polishing/hprc_DeepPolisher/mGorGor1/analysis/hprc_DeepPolisher_outputs/mGorGor1.hifi.to.diploid.asm.PHARAOH.bam,/private/groups/patenlab/mira/hprc_polishing/data/DeepPolisher_models/checkpoint-72.tar.gz,google/deepconsensus:polisher_v0.1.0_06202024
mPanPan1_verkko_model2,s3://genomeark/species/Pan_paniscus/mPanPan1/assembly_verkko_1.4.1r/mPanPan1.dip.20230906.fasta.gz,s3://genomeark/species/Pan_paniscus/mPanPan1/assembly_verkko_1.4.1r/mPanPan1.pat.20230906.fasta.gz,s3://genomeark/species/Pan_paniscus/mPanPan1/assembly_verkko_1.4.1r/mPanPan1.mat.20230906.fasta.gz,"[""s3://genomeark/species/Pan_paniscus/mPanPan1/assembly_verkko_1.4.1r/alignments/winnowmap.analysis-dip.HiFi.bam""]","[""s3://genomeark/species/Pan_paniscus/mPanPan1/assembly_verkko_1.4.1r/alignments/winnowmap.analysis-dip.ONT.bam""]","[""s3://genomeark/species/Pan_paniscus/mPanPan1/assembly_verkko_1.4.1r/alignments/bwa.analysis-dip.illumina.dedup.bam""]",161.139,0.25,369.961,/private/groups/patenlab/mira/t2t_primates_polishing/reads/hifi/mPanPan1/winnowmap.analysis-dip.HiFi.bam.40x.bam,/private/groups/patenlab/mira/t2t_primates_polishing/hprc_DeepPolisher/mPanPan1/analysis/hprc_DeepPolisher_outputs/mPanPan1.hifi.to.diploid.asm.PHARAOH.bam.bai,/private/groups/patenlab/mira/t2t_primates_polishing/hprc_DeepPolisher/mPanPan1/analysis/hprc_DeepPolisher_outputs/mPanPan1.hifi.to.diploid.asm.PHARAOH.bam,/private/groups/patenlab/mira/hprc_polishing/data/DeepPolisher_models/checkpoint-72.tar.gz,google/deepconsensus:polisher_v0.1.0_06202024
mPanTro3_verkko_model2,s3://genomeark/species/Pan_troglodytes/mPanTro3/assembly_verkko_1.4.1r/mPanTro3.dip.20230906.fasta.gz,s3://genomeark/species/Pan_troglodytes/mPanTro3/assembly_verkko_1.4.1r/mPanTro3.hap1.20230906.fasta.gz,s3://genomeark/species/Pan_troglodytes/mPanTro3/assembly_verkko_1.4.1r/mPanTro3.hap2.20230906.fasta.gz,"[""s3://genomeark/species/Pan_troglodytes/mPanTro3/assembly_verkko_1.4.1r/alignments/winnowmap.analysis-dip.HiFi.bam""]","[""s3://genomeark/species/Pan_troglodytes/mPanTro3/assembly_verkko_1.4.1r/alignments/winnowmap.analysis-dip.ONT.bam""]","[""s3://genomeark/species/Pan_troglodytes/mPanTro3/assembly_verkko_1.4.1r/alignments/bwa.analysis-dip.illumina.dedup.bam""]",84.5195,0.47,341.213,/private/groups/patenlab/mira/t2t_primates_polishing/reads/hifi/mPanTro3/winnowmap.analysis-dip.HiFi.bam.40x.bam,/private/groups/patenlab/mira/t2t_primates_polishing/hprc_DeepPolisher/mPanTro3/analysis/hprc_DeepPolisher_outputs/mPanTro3.hifi.to.diploid.asm.PHARAOH.bam.bai,/private/groups/patenlab/mira/t2t_primates_polishing/hprc_DeepPolisher/mPanTro3/analysis/hprc_DeepPolisher_outputs/mPanTro3.hifi.to.diploid.asm.PHARAOH.bam,/private/groups/patenlab/mira/hprc_polishing/data/DeepPolisher_models/checkpoint-72.tar.gz,google/deepconsensus:polisher_v0.1.0_06202024
mPonAbe1_verkko_model2,s3://genomeark/species/Pongo_abelii/mPonAbe1/assembly_verkko_1.4.1r/mPonAbe1.dip.20230906.fasta.gz,s3://genomeark/species/Pongo_abelii/mPonAbe1/assembly_verkko_1.4.1r/mPonAbe1.hap1.20230906.fasta.gz,s3://genomeark/species/Pongo_abelii/mPonAbe1/assembly_verkko_1.4.1r/mPonAbe1.hap2.20230906.fasta.gz,"[""s3://genomeark/species/Pongo_abelii/mPonAbe1/assembly_verkko_1.4.1r/alignments/winnowmap.analysis-dip.HiFi.bam""]","[""s3://genomeark/species/Pongo_abelii/mPonAbe1/assembly_verkko_1.4.1r/alignments/winnowmap.analysis-dip.ONT.bam""]","[""s3://genomeark/species/Pongo_abelii/mPonAbe1/assembly_verkko_1.4.1r/alignments/bwa.analysis-dip.illumina.dedup.bam""]",126.857,0.32,209.229,/private/groups/patenlab/mira/t2t_primates_polishing/reads/hifi/mPonAbe1/winnowmap.analysis-dip.HiFi.bam.40x.bam,/private/groups/patenlab/mira/t2t_primates_polishing/hprc_DeepPolisher/mPonAbe1/analysis/hprc_DeepPolisher_outputs/mPonAbe1.hifi.to.diploid.asm.PHARAOH.bam.bai,/private/groups/patenlab/mira/t2t_primates_polishing/hprc_DeepPolisher/mPonAbe1/analysis/hprc_DeepPolisher_outputs/mPonAbe1.hifi.to.diploid.asm.PHARAOH.bam,/private/groups/patenlab/mira/hprc_polishing/data/DeepPolisher_models/checkpoint-72.tar.gz,google/deepconsensus:polisher_v0.1.0_06202024
mPonPyg2_verkko_model2,s3://genomeark/species/Pongo_pygmaeus/mPonPyg2/assembly_verkko_1.4.1r/mPonPyg2.dip.20230906.fasta.gz,s3://genomeark/species/Pongo_pygmaeus/mPonPyg2/assembly_verkko_1.4.1r/mPonPyg2.hap1.20230906.fasta.gz,s3://genomeark/species/Pongo_pygmaeus/mPonPyg2/assembly_verkko_1.4.1r/mPonPyg2.hap2.20230906.fasta.gz,"[""s3://genomeark/species/Pongo_pygmaeus/mPonPyg2/assembly_verkko_1.4.1r/alignments/winnowmap.analysis-dip.HiFi.bam""]","[""s3://genomeark/species/Pongo_pygmaeus/mPonPyg2/assembly_verkko_1.4.1r/alignments/winnowmap.analysis-dip.ONT.bam""]","[""s3://genomeark/species/Pongo_pygmaeus/mPonPyg2/assembly_verkko_1.4.1r/alignments/bwa.analysis-dip.illumina.dedup.bam""]",81.0193,0.49,375.83,/private/groups/patenlab/mira/t2t_primates_polishing/reads/hifi/mPonPyg2/winnowmap.analysis-dip.HiFi.bam.40x.bam,/private/groups/patenlab/mira/t2t_primates_polishing/hprc_DeepPolisher/mPonPyg2/analysis/hprc_DeepPolisher_outputs/mPonPyg2.hifi.to.diploid.asm.PHARAOH.bam.bai,/private/groups/patenlab/mira/t2t_primates_polishing/hprc_DeepPolisher/mPonPyg2/analysis/hprc_DeepPolisher_outputs/mPonPyg2.hifi.to.diploid.asm.PHARAOH.bam,/private/groups/patenlab/mira/hprc_polishing/data/DeepPolisher_models/checkpoint-72.tar.gz,google/deepconsensus:polisher_v0.1.0_06202024
mSymSyn1_verkko_model2,s3://genomeark/species/Symphalangus_syndactylus/mSymSyn1/assembly_verkko_1.4.1r/mSymSyn1.dip.20230906.fasta.gz,s3://genomeark/species/Symphalangus_syndactylus/mSymSyn1/assembly_verkko_1.4.1r/mSymSyn1.hap1.20230906.fasta.gz,s3://genomeark/species/Symphalangus_syndactylus/mSymSyn1/assembly_verkko_1.4.1r/mSymSyn1.hap2.20230906.fasta.gz,"[""s3://genomeark/species/Symphalangus_syndactylus/mSymSyn1/assembly_verkko_1.4.1r/alignments/winnowmap.analysis-dip.HiFi.bam""]","[""s3://genomeark/species/Symphalangus_syndactylus/mSymSyn1/assembly_verkko_1.4.1r/alignments/winnowmap.analysis-dip.ONT.bam""]","[""s3://genomeark/species/Symphalangus_syndactylus/mSymSyn1/assembly_verkko_1.4.1r/alignments/bwa.analysis-dip.illumina.dedup.bam""]",98.0202,0.41,310.033,/private/groups/patenlab/mira/t2t_primates_polishing/reads/hifi/mSymSyn1/winnowmap.analysis-dip.HiFi.bam.40x.bam,/private/groups/patenlab/mira/t2t_primates_polishing/hprc_DeepPolisher/mSymSyn1/analysis/hprc_DeepPolisher_outputs/mSymSyn1.hifi.to.diploid.asm.PHARAOH.bam.bai,/private/groups/patenlab/mira/t2t_primates_polishing/hprc_DeepPolisher/mSymSyn1/analysis/hprc_DeepPolisher_outputs/mSymSyn1.hifi.to.diploid.asm.PHARAOH.bam,/private/groups/patenlab/mira/hprc_polishing/data/DeepPolisher_models/checkpoint-72.tar.gz,google/deepconsensus:polisher_v0.1.0_06202024