sample_id,paternal_id,maternal_id,cohort,Sex,is_male,dipFasta,hic+trio_hap1,hic+trio_hap2,DeepPolisherModelFiles,modifiedReadBlocksVariantsBed,variantBlocksBed,finalPhasedDipBai,finalPhasedDipBam,mat_yak,pat_yak,PolisherVcf,PolisherVcfTbi
HG01993_verkko_model1,HG01991,HG01992,HPRC,female,FALSE,/private/groups/patenlab/mira/hprc_polishing/data/HPRC_int_asm/dip_fastas/verkko/HG01993_verkko_trio+hic.dip.fasta,/private/groups/hprc/verkko/batch1/HG01993/verkko/hic_asm/HG01993_verkko_trio+hic.hap1.fasta.gz,/private/groups/hprc/verkko/batch1/HG01993/verkko/hic_asm/HG01993_verkko_trio+hic.hap2.fasta.gz,/private/groups/patenlab/mira/hprc_polishing/data/DeepPolisher_models/checkpoint-201.tar.gz,/private/groups/patenlab/mira/hprc_polishing/hprc_deepPolisher_wf_runs/phoenix_batch_submissions_manuscript/hprc_verkko/HG01993/analysis/hprc_DeepPolisher_outputs/secphase_v0.4.3.modified_read_blocks.variants.bed,/private/groups/patenlab/mira/hprc_polishing/hprc_deepPolisher_wf_runs/phoenix_batch_submissions_manuscript/hprc_verkko/HG01993/analysis/hprc_DeepPolisher_outputs/secphase_v0.4.3.variant_blocks.bed,/private/groups/patenlab/mira/hprc_polishing/hprc_deepPolisher_wf_runs/phoenix_batch_submissions_manuscript/hprc_verkko/HG01993/analysis/hprc_DeepPolisher_outputs/HG01993.hifi.to.diploid.asm.PHARAOH.bam.bai,/private/groups/patenlab/mira/hprc_polishing/hprc_deepPolisher_wf_runs/phoenix_batch_submissions_manuscript/hprc_verkko/HG01993/analysis/hprc_DeepPolisher_outputs/HG01993.hifi.to.diploid.asm.PHARAOH.bam,/private/groups/hprc/assembly/batch2/HG01993/analysis/assembly/HG01992.yak,/private/groups/hprc/assembly/batch2/HG01993/analysis/assembly/HG01991.yak,/private/groups/patenlab/mira/hprc_polishing/deepPolisher_runs/hprc_verkko_model1/HG01993_verkko_model1/analysis/DeepPolisher_outputs/polisher_output.no_filters.vcf.gz,/private/groups/patenlab/mira/hprc_polishing/deepPolisher_runs/hprc_verkko_model1/HG01993_verkko_model1/analysis/DeepPolisher_outputs/polisher_output.no_filters.vcf.gz.tbi
HG00738_verkko_model1_hprc_filters,HG00736,HG00737,HPRC,male,TRUE,/private/groups/patenlab/mira/hprc_polishing/data/HPRC_int_asm/dip_fastas/verkko/HG00738_verkko_trio+hic.dip.fasta,/private/groups/hprc/verkko/batch1/HG00738/verkko/hic_asm/HG00738_verkko_trio+hic.hap1.fasta.gz,/private/groups/hprc/verkko/batch1/HG00738/verkko/hic_asm/HG00738_verkko_trio+hic.hap2.fasta.gz,/private/groups/patenlab/mira/hprc_polishing/data/DeepPolisher_models/checkpoint-201.tar.gz,/private/groups/patenlab/mira/hprc_polishing/hprc_deepPolisher_wf_runs/phoenix_batch_submissions_manuscript/hprc_verkko/HG00738/analysis/hprc_DeepPolisher_outputs/secphase_v0.4.3.modified_read_blocks.variants.bed,/private/groups/patenlab/mira/hprc_polishing/hprc_deepPolisher_wf_runs/phoenix_batch_submissions_manuscript/hprc_verkko/HG00738/analysis/hprc_DeepPolisher_outputs/secphase_v0.4.3.variant_blocks.bed,/private/groups/patenlab/mira/hprc_polishing/hprc_deepPolisher_wf_runs/phoenix_batch_submissions_manuscript/hprc_verkko/HG00738/analysis/hprc_DeepPolisher_outputs/HG00738.hifi.to.diploid.asm.PHARAOH.bam.bai,/private/groups/patenlab/mira/hprc_polishing/hprc_deepPolisher_wf_runs/phoenix_batch_submissions_manuscript/hprc_verkko/HG00738/analysis/hprc_DeepPolisher_outputs/HG00738.hifi.to.diploid.asm.PHARAOH.bam,/private/groups/hprc/assembly/batch2/HG00738/analysis/assembly/HG00737.yak,/private/groups/hprc/assembly/batch2/HG00738/analysis/assembly/HG00736.yak,/private/groups/patenlab/mira/hprc_polishing/deepPolisher_runs/hprc_verkko_model1/HG00738_verkko_model1/analysis/DeepPolisher_outputs/polisher_output.vcf.gz,/private/groups/patenlab/mira/hprc_polishing/deepPolisher_runs/hprc_verkko_model1/HG00738_verkko_model1/analysis/DeepPolisher_outputs/polisher_output.vcf.gz.tbi
HG01099_verkko_model1_hprc_filters,HG01097,HG01098,HPRC,male,TRUE,/private/groups/patenlab/mira/hprc_polishing/data/HPRC_int_asm/dip_fastas/verkko/HG01099_verkko_trio+hic.dip.fasta,/private/groups/hprc/verkko/batch1/HG01099/verkko/hic_asm/HG01099_verkko_trio+hic.hap1.fasta.gz,/private/groups/hprc/verkko/batch1/HG01099/verkko/hic_asm/HG01099_verkko_trio+hic.hap2.fasta.gz,/private/groups/patenlab/mira/hprc_polishing/data/DeepPolisher_models/checkpoint-201.tar.gz,/private/groups/patenlab/mira/hprc_polishing/hprc_deepPolisher_wf_runs/phoenix_batch_submissions_manuscript/hprc_verkko/HG01099/analysis/hprc_DeepPolisher_outputs/secphase_v0.4.3.modified_read_blocks.variants.bed,/private/groups/patenlab/mira/hprc_polishing/hprc_deepPolisher_wf_runs/phoenix_batch_submissions_manuscript/hprc_verkko/HG01099/analysis/hprc_DeepPolisher_outputs/secphase_v0.4.3.variant_blocks.bed,/private/groups/patenlab/mira/hprc_polishing/hprc_deepPolisher_wf_runs/phoenix_batch_submissions_manuscript/hprc_verkko/HG01099/analysis/hprc_DeepPolisher_outputs/HG01099.hifi.to.diploid.asm.PHARAOH.bam.bai,/private/groups/patenlab/mira/hprc_polishing/hprc_deepPolisher_wf_runs/phoenix_batch_submissions_manuscript/hprc_verkko/HG01099/analysis/hprc_DeepPolisher_outputs/HG01099.hifi.to.diploid.asm.PHARAOH.bam,/private/groups/hprc/assembly/batch2/HG01099/analysis/assembly/HG01098.yak,/private/groups/hprc/assembly/batch2/HG01099/analysis/assembly/HG01097.yak,/private/groups/patenlab/mira/hprc_polishing/deepPolisher_runs/hprc_verkko_model1/HG01099_verkko_model1/analysis/DeepPolisher_outputs/polisher_output.vcf.gz,/private/groups/patenlab/mira/hprc_polishing/deepPolisher_runs/hprc_verkko_model1/HG01099_verkko_model1/analysis/DeepPolisher_outputs/polisher_output.vcf.gz.tbi
HG01255_verkko_model1_hprc_filters,HG01253,HG01254,HPRC,male,TRUE,/private/groups/patenlab/mira/hprc_polishing/data/HPRC_int_asm/dip_fastas/verkko/HG01255_verkko_trio+hic.dip.fasta,/private/groups/hprc/verkko/batch1/HG01255/verkko/hic_asm/HG01255_verkko_trio+hic.hap1.fasta.gz,/private/groups/hprc/verkko/batch1/HG01255/verkko/hic_asm/HG01255_verkko_trio+hic.hap2.fasta.gz,/private/groups/patenlab/mira/hprc_polishing/data/DeepPolisher_models/checkpoint-201.tar.gz,/private/groups/patenlab/mira/hprc_polishing/hprc_deepPolisher_wf_runs/phoenix_batch_submissions_manuscript/hprc_verkko/HG01255/analysis/hprc_DeepPolisher_outputs/secphase_v0.4.3.modified_read_blocks.variants.bed,/private/groups/patenlab/mira/hprc_polishing/hprc_deepPolisher_wf_runs/phoenix_batch_submissions_manuscript/hprc_verkko/HG01255/analysis/hprc_DeepPolisher_outputs/secphase_v0.4.3.variant_blocks.bed,/private/groups/patenlab/mira/hprc_polishing/hprc_deepPolisher_wf_runs/phoenix_batch_submissions_manuscript/hprc_verkko/HG01255/analysis/hprc_DeepPolisher_outputs/HG01255.hifi.to.diploid.asm.PHARAOH.bam.bai,/private/groups/patenlab/mira/hprc_polishing/hprc_deepPolisher_wf_runs/phoenix_batch_submissions_manuscript/hprc_verkko/HG01255/analysis/hprc_DeepPolisher_outputs/HG01255.hifi.to.diploid.asm.PHARAOH.bam,/private/groups/hprc/assembly/batch2/HG01255/analysis/assembly/HG01254.yak,/private/groups/hprc/assembly/batch2/HG01255/analysis/assembly/HG01253.yak,/private/groups/patenlab/mira/hprc_polishing/deepPolisher_runs/hprc_verkko_model1/HG01255_verkko_model1/analysis/DeepPolisher_outputs/polisher_output.vcf.gz,/private/groups/patenlab/mira/hprc_polishing/deepPolisher_runs/hprc_verkko_model1/HG01255_verkko_model1/analysis/DeepPolisher_outputs/polisher_output.vcf.gz.tbi
HG01346_verkko_model1_hprc_filters,HG01344,HG01345,HPRC,female,FALSE,/private/groups/patenlab/mira/hprc_polishing/data/HPRC_int_asm/dip_fastas/verkko/HG01346_verkko_trio+hic.dip.fasta,/private/groups/hprc/verkko/batch1/HG01346/verkko/hic_asm/HG01346_verkko_trio+hic.hap1.fasta.gz,/private/groups/hprc/verkko/batch1/HG01346/verkko/hic_asm/HG01346_verkko_trio+hic.hap2.fasta.gz,/private/groups/patenlab/mira/hprc_polishing/data/DeepPolisher_models/checkpoint-201.tar.gz,/private/groups/patenlab/mira/hprc_polishing/hprc_deepPolisher_wf_runs/phoenix_batch_submissions_manuscript/hprc_verkko/HG01346/analysis/hprc_DeepPolisher_outputs/secphase_v0.4.3.modified_read_blocks.variants.bed,/private/groups/patenlab/mira/hprc_polishing/hprc_deepPolisher_wf_runs/phoenix_batch_submissions_manuscript/hprc_verkko/HG01346/analysis/hprc_DeepPolisher_outputs/secphase_v0.4.3.variant_blocks.bed,/private/groups/patenlab/mira/hprc_polishing/hprc_deepPolisher_wf_runs/phoenix_batch_submissions_manuscript/hprc_verkko/HG01346/analysis/hprc_DeepPolisher_outputs/HG01346.hifi.to.diploid.asm.PHARAOH.bam.bai,/private/groups/patenlab/mira/hprc_polishing/hprc_deepPolisher_wf_runs/phoenix_batch_submissions_manuscript/hprc_verkko/HG01346/analysis/hprc_DeepPolisher_outputs/HG01346.hifi.to.diploid.asm.PHARAOH.bam,/private/groups/hprc/assembly/batch2/HG01346/analysis/assembly/HG01345.yak,/private/groups/hprc/assembly/batch2/HG01346/analysis/assembly/HG01344.yak,/private/groups/patenlab/mira/hprc_polishing/deepPolisher_runs/hprc_verkko_model1/HG01346_verkko_model1/analysis/DeepPolisher_outputs/polisher_output.vcf.gz,/private/groups/patenlab/mira/hprc_polishing/deepPolisher_runs/hprc_verkko_model1/HG01346_verkko_model1/analysis/DeepPolisher_outputs/polisher_output.vcf.gz.tbi
HG01496_verkko_model1_hprc_filters,HG01494,HG01495,HPRC,female,FALSE,/private/groups/patenlab/mira/hprc_polishing/data/HPRC_int_asm/dip_fastas/verkko/HG01496_verkko_trio+hic.dip.fasta,/private/groups/hprc/verkko/batch1/HG01496/verkko/hic_asm/HG01496_verkko_trio+hic.hap1.fasta.gz,/private/groups/hprc/verkko/batch1/HG01496/verkko/hic_asm/HG01496_verkko_trio+hic.hap2.fasta.gz,/private/groups/patenlab/mira/hprc_polishing/data/DeepPolisher_models/checkpoint-201.tar.gz,/private/groups/patenlab/mira/hprc_polishing/hprc_deepPolisher_wf_runs/phoenix_batch_submissions_manuscript/hprc_verkko/HG01496/analysis/hprc_DeepPolisher_outputs/secphase_v0.4.3.modified_read_blocks.variants.bed,/private/groups/patenlab/mira/hprc_polishing/hprc_deepPolisher_wf_runs/phoenix_batch_submissions_manuscript/hprc_verkko/HG01496/analysis/hprc_DeepPolisher_outputs/secphase_v0.4.3.variant_blocks.bed,/private/groups/patenlab/mira/hprc_polishing/hprc_deepPolisher_wf_runs/phoenix_batch_submissions_manuscript/hprc_verkko/HG01496/analysis/hprc_DeepPolisher_outputs/HG01496.hifi.to.diploid.asm.PHARAOH.bam.bai,/private/groups/patenlab/mira/hprc_polishing/hprc_deepPolisher_wf_runs/phoenix_batch_submissions_manuscript/hprc_verkko/HG01496/analysis/hprc_DeepPolisher_outputs/HG01496.hifi.to.diploid.asm.PHARAOH.bam,/private/groups/hprc/assembly/batch2/HG01496/analysis/assembly/HG01495.yak,/private/groups/hprc/assembly/batch2/HG01496/analysis/assembly/HG01494.yak,/private/groups/patenlab/mira/hprc_polishing/deepPolisher_runs/hprc_verkko_model1/HG01496_verkko_model1/analysis/DeepPolisher_outputs/polisher_output.vcf.gz,/private/groups/patenlab/mira/hprc_polishing/deepPolisher_runs/hprc_verkko_model1/HG01496_verkko_model1/analysis/DeepPolisher_outputs/polisher_output.vcf.gz.tbi
HG01884_verkko_model1_hprc_filters,HG01885,HG01956,HPRC,female,FALSE,/private/groups/patenlab/mira/hprc_polishing/data/HPRC_int_asm/dip_fastas/verkko/HG01884_verkko_trio+hic.dip.fasta,/private/groups/hprc/verkko/batch1/HG01884/verkko/hic_asm/HG01884_verkko_trio+hic.hap1.fasta.gz,/private/groups/hprc/verkko/batch1/HG01884/verkko/hic_asm/HG01884_verkko_trio+hic.hap2.fasta.gz,/private/groups/patenlab/mira/hprc_polishing/data/DeepPolisher_models/checkpoint-201.tar.gz,/private/groups/patenlab/mira/hprc_polishing/hprc_deepPolisher_wf_runs/phoenix_batch_submissions_manuscript/hprc_verkko/HG01884/analysis/hprc_DeepPolisher_outputs/secphase_v0.4.3.modified_read_blocks.variants.bed,/private/groups/patenlab/mira/hprc_polishing/hprc_deepPolisher_wf_runs/phoenix_batch_submissions_manuscript/hprc_verkko/HG01884/analysis/hprc_DeepPolisher_outputs/secphase_v0.4.3.variant_blocks.bed,/private/groups/patenlab/mira/hprc_polishing/hprc_deepPolisher_wf_runs/phoenix_batch_submissions_manuscript/hprc_verkko/HG01884/analysis/hprc_DeepPolisher_outputs/HG01884.hifi.to.diploid.asm.PHARAOH.bam.bai,/private/groups/patenlab/mira/hprc_polishing/hprc_deepPolisher_wf_runs/phoenix_batch_submissions_manuscript/hprc_verkko/HG01884/analysis/hprc_DeepPolisher_outputs/HG01884.hifi.to.diploid.asm.PHARAOH.bam,/private/groups/hprc/assembly/batch2/HG01884/analysis/assembly/HG01956.yak,/private/groups/hprc/assembly/batch2/HG01884/analysis/assembly/HG01885.yak,/private/groups/patenlab/mira/hprc_polishing/deepPolisher_runs/hprc_verkko_model1/HG01884_verkko_model1/analysis/DeepPolisher_outputs/polisher_output.vcf.gz,/private/groups/patenlab/mira/hprc_polishing/deepPolisher_runs/hprc_verkko_model1/HG01884_verkko_model1/analysis/DeepPolisher_outputs/polisher_output.vcf.gz.tbi
HG01981_verkko_model1_hprc_filters,HG01979,HG01980,HPRC,female,FALSE,/private/groups/patenlab/mira/hprc_polishing/data/HPRC_int_asm/dip_fastas/verkko/HG01981_verkko_trio+hic.dip.fasta,/private/groups/hprc/verkko/batch1/HG01981/verkko/hic_asm/HG01981_verkko_trio+hic.hap1.fasta.gz,/private/groups/hprc/verkko/batch1/HG01981/verkko/hic_asm/HG01981_verkko_trio+hic.hap2.fasta.gz,/private/groups/patenlab/mira/hprc_polishing/data/DeepPolisher_models/checkpoint-201.tar.gz,/private/groups/patenlab/mira/hprc_polishing/hprc_deepPolisher_wf_runs/phoenix_batch_submissions_manuscript/hprc_verkko/HG01981/analysis/hprc_DeepPolisher_outputs/secphase_v0.4.3.modified_read_blocks.variants.bed,/private/groups/patenlab/mira/hprc_polishing/hprc_deepPolisher_wf_runs/phoenix_batch_submissions_manuscript/hprc_verkko/HG01981/analysis/hprc_DeepPolisher_outputs/secphase_v0.4.3.variant_blocks.bed,/private/groups/patenlab/mira/hprc_polishing/hprc_deepPolisher_wf_runs/phoenix_batch_submissions_manuscript/hprc_verkko/HG01981/analysis/hprc_DeepPolisher_outputs/HG01981.hifi.to.diploid.asm.PHARAOH.bam.bai,/private/groups/patenlab/mira/hprc_polishing/hprc_deepPolisher_wf_runs/phoenix_batch_submissions_manuscript/hprc_verkko/HG01981/analysis/hprc_DeepPolisher_outputs/HG01981.hifi.to.diploid.asm.PHARAOH.bam,/private/groups/hprc/assembly/batch2/HG01981/analysis/assembly/HG01980.yak,/private/groups/hprc/assembly/batch2/HG01981/analysis/assembly/HG01979.yak,/private/groups/patenlab/mira/hprc_polishing/deepPolisher_runs/hprc_verkko_model1/HG01981_verkko_model1/analysis/DeepPolisher_outputs/polisher_output.vcf.gz,/private/groups/patenlab/mira/hprc_polishing/deepPolisher_runs/hprc_verkko_model1/HG01981_verkko_model1/analysis/DeepPolisher_outputs/polisher_output.vcf.gz.tbi
HG01993_verkko_model1_hprc_filters,HG01991,HG01992,HPRC,female,FALSE,/private/groups/patenlab/mira/hprc_polishing/data/HPRC_int_asm/dip_fastas/verkko/HG01993_verkko_trio+hic.dip.fasta,/private/groups/hprc/verkko/batch1/HG01993/verkko/hic_asm/HG01993_verkko_trio+hic.hap1.fasta.gz,/private/groups/hprc/verkko/batch1/HG01993/verkko/hic_asm/HG01993_verkko_trio+hic.hap2.fasta.gz,/private/groups/patenlab/mira/hprc_polishing/data/DeepPolisher_models/checkpoint-201.tar.gz,/private/groups/patenlab/mira/hprc_polishing/hprc_deepPolisher_wf_runs/phoenix_batch_submissions_manuscript/hprc_verkko/HG01993/analysis/hprc_DeepPolisher_outputs/secphase_v0.4.3.modified_read_blocks.variants.bed,/private/groups/patenlab/mira/hprc_polishing/hprc_deepPolisher_wf_runs/phoenix_batch_submissions_manuscript/hprc_verkko/HG01993/analysis/hprc_DeepPolisher_outputs/secphase_v0.4.3.variant_blocks.bed,/private/groups/patenlab/mira/hprc_polishing/hprc_deepPolisher_wf_runs/phoenix_batch_submissions_manuscript/hprc_verkko/HG01993/analysis/hprc_DeepPolisher_outputs/HG01993.hifi.to.diploid.asm.PHARAOH.bam.bai,/private/groups/patenlab/mira/hprc_polishing/hprc_deepPolisher_wf_runs/phoenix_batch_submissions_manuscript/hprc_verkko/HG01993/analysis/hprc_DeepPolisher_outputs/HG01993.hifi.to.diploid.asm.PHARAOH.bam,/private/groups/hprc/assembly/batch2/HG01993/analysis/assembly/HG01992.yak,/private/groups/hprc/assembly/batch2/HG01993/analysis/assembly/HG01991.yak,/private/groups/patenlab/mira/hprc_polishing/deepPolisher_runs/hprc_verkko_model1/HG01993_verkko_model1/analysis/DeepPolisher_outputs/polisher_output.vcf.gz,/private/groups/patenlab/mira/hprc_polishing/deepPolisher_runs/hprc_verkko_model1/HG01993_verkko_model1/analysis/DeepPolisher_outputs/polisher_output.vcf.gz.tbi