sample_id,suffix,reads,assembly
PAN027_ele_to_PAN027_raw_mat,bwa_0.7.17-r1188,"[""/private/groups/migalab/mcechova/element/washu-ucsc/bases2fastq/KOL-0841__c22b964ca76a4e40b297dff6b3b37007/Samples/6807/6807_R1.fastq.gz"",""/private/groups/migalab/mcechova/element/washu-ucsc/bases2fastq/KOL-0841__c22b964ca76a4e40b297dff6b3b37007/Samples/6807/6807_R2.fastq.gz""]",/private/groups/migalab/mcechova/pedigree_assemblies/verkko2.0/assembly_release/diploid/assembly.v1.0.PAN027.maternal.fa
PAN027_ele_to_PAN027_raw_pat,bwa_0.7.17-r1188,"[""/private/groups/migalab/mcechova/element/washu-ucsc/bases2fastq/KOL-0841__c22b964ca76a4e40b297dff6b3b37007/Samples/6807/6807_R1.fastq.gz"",""/private/groups/migalab/mcechova/element/washu-ucsc/bases2fastq/KOL-0841__c22b964ca76a4e40b297dff6b3b37007/Samples/6807/6807_R2.fastq.gz""]",/private/groups/migalab/mcechova/pedigree_assemblies/verkko2.0/assembly_release/diploid/assembly.v1.0.PAN027.paternal.fa
PAN010_ele_to_PAN027_raw_mat,bwa_0.7.17-r1188,"[""/private/groups/migalab/mcechova/element/washu-ucsc/bases2fastq/KOL-0872__dc8df09cedb341d19649fd46048aee5d/Samples/6803/6803_R1.fastq.gz"",""/private/groups/migalab/mcechova/element/washu-ucsc/bases2fastq/KOL-0872__dc8df09cedb341d19649fd46048aee5d/Samples/6803/6803_R2.fastq.gz""]",/private/groups/migalab/mcechova/pedigree_assemblies/verkko2.0/assembly_release/diploid/assembly.v1.0.PAN027.maternal.fa
PAN010_ele_to_PAN027_raw_pat,bwa_0.7.17-r1188,"[""/private/groups/migalab/mcechova/element/washu-ucsc/bases2fastq/KOL-0872__dc8df09cedb341d19649fd46048aee5d/Samples/6803/6803_R1.fastq.gz"",""/private/groups/migalab/mcechova/element/washu-ucsc/bases2fastq/KOL-0872__dc8df09cedb341d19649fd46048aee5d/Samples/6803/6803_R2.fastq.gz""]",/private/groups/migalab/mcechova/pedigree_assemblies/verkko2.0/assembly_release/diploid/assembly.v1.0.PAN027.paternal.fa
PAN011_ele_to_PAN027_raw_mat,bwa_0.7.17-r1188,"[""/private/groups/migalab/mcechova/element/washu-ucsc/bases2fastq/KOL-0830__3f44a552ae284f5e8b88c5939374ad05/Samples/6804/6804_R1.fastq.gz"",""/private/groups/migalab/mcechova/element/washu-ucsc/bases2fastq/KOL-0830__3f44a552ae284f5e8b88c5939374ad05/Samples/6804/6804_R2.fastq.gz""]",/private/groups/migalab/mcechova/pedigree_assemblies/verkko2.0/assembly_release/diploid/assembly.v1.0.PAN027.maternal.fa
PAN011_ele_to_PAN027_raw_pat,bwa_0.7.17-r1188,"[""/private/groups/migalab/mcechova/element/washu-ucsc/bases2fastq/KOL-0830__3f44a552ae284f5e8b88c5939374ad05/Samples/6804/6804_R1.fastq.gz"",""/private/groups/migalab/mcechova/element/washu-ucsc/bases2fastq/KOL-0830__3f44a552ae284f5e8b88c5939374ad05/Samples/6804/6804_R2.fastq.gz""]",/private/groups/migalab/mcechova/pedigree_assemblies/verkko2.0/assembly_release/diploid/assembly.v1.0.PAN027.paternal.fa
PAN010_ele_to_PAN010_raw_hap1,bwa_0.7.17-r1188,"[""/private/groups/migalab/mcechova/element/washu-ucsc/bases2fastq/KOL-0872__dc8df09cedb341d19649fd46048aee5d/Samples/6803/6803_R1.fastq.gz"",""/private/groups/migalab/mcechova/element/washu-ucsc/bases2fastq/KOL-0872__dc8df09cedb341d19649fd46048aee5d/Samples/6803/6803_R2.fastq.gz""]",/private/groups/migalab/mcechova/pedigree_assemblies/verkko2.0/assembly_release/diploid/assembly.v1.0.PAN010.haplotype1.fa
PAN010_ele_to_PAN010_raw_hap2,bwa_0.7.17-r1188,"[""/private/groups/migalab/mcechova/element/washu-ucsc/bases2fastq/KOL-0872__dc8df09cedb341d19649fd46048aee5d/Samples/6803/6803_R1.fastq.gz"",""/private/groups/migalab/mcechova/element/washu-ucsc/bases2fastq/KOL-0872__dc8df09cedb341d19649fd46048aee5d/Samples/6803/6803_R2.fastq.gz""]",/private/groups/migalab/mcechova/pedigree_assemblies/verkko2.0/assembly_release/diploid/assembly.v1.0.PAN010.haplotype2.fa
PAN011_ele_to_PAN011_raw_hap1,bwa_0.7.17-r1188,"[""/private/groups/migalab/mcechova/element/washu-ucsc/bases2fastq/KOL-0830__3f44a552ae284f5e8b88c5939374ad05/Samples/6804/6804_R1.fastq.gz"",""/private/groups/migalab/mcechova/element/washu-ucsc/bases2fastq/KOL-0830__3f44a552ae284f5e8b88c5939374ad05/Samples/6804/6804_R2.fastq.gz""]",/private/groups/migalab/mcechova/pedigree_assemblies/verkko2.0/assembly_release/diploid/assembly.v1.0.PAN011.haplotype1.fa
PAN011_ele_to_PAN011_raw_hap2,bwa_0.7.17-r1188,"[""/private/groups/migalab/mcechova/element/washu-ucsc/bases2fastq/KOL-0830__3f44a552ae284f5e8b88c5939374ad05/Samples/6804/6804_R1.fastq.gz"",""/private/groups/migalab/mcechova/element/washu-ucsc/bases2fastq/KOL-0830__3f44a552ae284f5e8b88c5939374ad05/Samples/6804/6804_R2.fastq.gz""]",/private/groups/migalab/mcechova/pedigree_assemblies/verkko2.0/assembly_release/diploid/assembly.v1.0.PAN011.haplotype2.fa
PAN028_ele_to_PAN028_raw_hap1,bwa_0.7.17-r1188,"[""/private/groups/migalab/mcechova/element/washu-ucsc/bases2fastq/KOL-0843__eeedb9fab5914a9fb0c47f0d50637b09/Samples/6808/6808_R1.fastq.gz"",""/private/groups/migalab/mcechova/element/washu-ucsc/bases2fastq/KOL-0843__eeedb9fab5914a9fb0c47f0d50637b09/Samples/6808/6808_R2.fastq.gz""]",/private/groups/migalab/mcechova/pedigree_assemblies/verkko2.0/assembly_release/diploid/assembly.v1.0.PAN028.haplotype1.fa
PAN028_ele_to_PAN028_raw_hap2,bwa_0.7.17-r1188,"[""/private/groups/migalab/mcechova/element/washu-ucsc/bases2fastq/KOL-0843__eeedb9fab5914a9fb0c47f0d50637b09/Samples/6808/6808_R1.fastq.gz"",""/private/groups/migalab/mcechova/element/washu-ucsc/bases2fastq/KOL-0843__eeedb9fab5914a9fb0c47f0d50637b09/Samples/6808/6808_R2.fastq.gz""]",/private/groups/migalab/mcechova/pedigree_assemblies/verkko2.0/assembly_release/diploid/assembly.v1.0.PAN028.haplotype2.fa
HG002_ele_all_to_dip,bwa_0.7.17-r1188,"[""/private/groups/patenlab/mira/hprc_polishing/data/element_HG002/HG002-20220606.grch38.bam.element.fq.gz""]",/private/groups/patenlab/mira/hprc_polishing/data/HG002_y2_polishing/assembly/HG002.trio_hifiasm_0.19.5.DC_1.2_40x.dip.fa