sample_id,correctBamOptions,preset,assemblyFasta,secphaseOptions,enableRunningSecphase,kmerSize,alignerOptions,aligner,readFiles,suffix,alignerDockerImage
HG005_verkko_winnowmap,--maxDiv 0.02,map-pb,/private/groups/patenlab/mira/hprc_polishing/data/HG005_verkko/assembly.fasta,--hifi,TRUE,15,--eqx --cs -Y -L -y -I8g -p0.5,winnowmap,"[""/private/groups/patenlab/masri/hprc/polishing/HG005/reads/HiFi_DC_v1.2/downsampled_40x/m64017_200723_190224.dc.q20.fastq.gz"",""/private/groups/patenlab/masri/hprc/polishing/HG005/reads/HiFi_DC_v1.2/downsampled_40x/m64017_200801_011415.dc.q20.fastq.gz"",""/private/groups/patenlab/masri/hprc/polishing/HG005/reads/HiFi_DC_v1.2/downsampled_40x/m64017_200802_073944.dc.q20.fastq.gz"",""/private/groups/patenlab/masri/hprc/polishing/HG005/reads/HiFi_DC_v1.2/downsampled_40x/m64109_200304_195708.dc.q20.fastq.gz"",""/private/groups/patenlab/masri/hprc/polishing/HG005/reads/HiFi_DC_v1.2/downsampled_40x/m64109_200309_192110.dc.q20.fastq.gz""]",winnowmap,mobinasri/long_read_aligner:v0.4.0
HG01981_verkko_winnowmap,--maxDiv 0.02,map-pb,/private/groups/patenlab/mira/hprc_polishing/data/HPRC_int_asm/dip_fastas/verkko/HG01981_verkko_trio+hic.dip.fasta,--hifi,TRUE,15,--eqx --cs -Y -L -y -I8g -p0.5,winnowmap,"['s3://human-pangenomics/submissions/02355F32-E75A-4279-A7B8-FCCEA70FB6CD--DEEPCONSENSUS_v1pt2/HG01981/raw_data/PacBio_HiFi/deepconsensus/v1pt2/HG01981.m64136_210625_184731.dc.q20.fastq.gz', 's3://human-pangenomics/submissions/02355F32-E75A-4279-A7B8-FCCEA70FB6CD--DEEPCONSENSUS_v1pt2/HG01981/raw_data/PacBio_HiFi/deepconsensus/v1pt2/HG01981.m64136_210627_054246.dc.q20.fastq.gz', 's3://human-pangenomics/submissions/02355F32-E75A-4279-A7B8-FCCEA70FB6CD--DEEPCONSENSUS_v1pt2/HG01981/raw_data/PacBio_HiFi/deepconsensus/v1pt2/HG01981.m64136_210628_163953.dc.q20.fastq.gz']",winnowmap,mobinasri/long_read_aligner:v0.4.0
HG005_verkko_minimap2_2.28-r1209,--maxDiv 0.02,lr:hqae,/private/groups/patenlab/mira/hprc_polishing/data/HG005_verkko/assembly.fasta,--hifi,TRUE,19,--cs --eqx -Y -L,minimap2,"[""/private/groups/patenlab/masri/hprc/polishing/HG005/reads/HiFi_DC_v1.2/downsampled_40x/m64017_200723_190224.dc.q20.fastq.gz"",""/private/groups/patenlab/masri/hprc/polishing/HG005/reads/HiFi_DC_v1.2/downsampled_40x/m64017_200801_011415.dc.q20.fastq.gz"",""/private/groups/patenlab/masri/hprc/polishing/HG005/reads/HiFi_DC_v1.2/downsampled_40x/m64017_200802_073944.dc.q20.fastq.gz"",""/private/groups/patenlab/masri/hprc/polishing/HG005/reads/HiFi_DC_v1.2/downsampled_40x/m64109_200304_195708.dc.q20.fastq.gz"",""/private/groups/patenlab/masri/hprc/polishing/HG005/reads/HiFi_DC_v1.2/downsampled_40x/m64109_200309_192110.dc.q20.fastq.gz""]",minimap2_2.28-r1209,mobinasri/long_read_aligner:v1.1.0
HG01981_verkko_minimap2_2.28-r1209,--maxDiv 0.02,lr:hqae,/private/groups/patenlab/mira/hprc_polishing/data/HPRC_int_asm/dip_fastas/verkko/HG01981_verkko_trio+hic.dip.fasta,--hifi,TRUE,19,--cs --eqx -Y -L,minimap2,"['s3://human-pangenomics/submissions/02355F32-E75A-4279-A7B8-FCCEA70FB6CD--DEEPCONSENSUS_v1pt2/HG01981/raw_data/PacBio_HiFi/deepconsensus/v1pt2/HG01981.m64136_210625_184731.dc.q20.fastq.gz', 's3://human-pangenomics/submissions/02355F32-E75A-4279-A7B8-FCCEA70FB6CD--DEEPCONSENSUS_v1pt2/HG01981/raw_data/PacBio_HiFi/deepconsensus/v1pt2/HG01981.m64136_210627_054246.dc.q20.fastq.gz', 's3://human-pangenomics/submissions/02355F32-E75A-4279-A7B8-FCCEA70FB6CD--DEEPCONSENSUS_v1pt2/HG01981/raw_data/PacBio_HiFi/deepconsensus/v1pt2/HG01981.m64136_210628_163953.dc.q20.fastq.gz']",minimap2_2.28-r1209,mobinasri/long_read_aligner:v1.1.0
PAN027_ele_to_PAN027_patched_DV_mat,--maxDiv 0.04,sr,/private/groups/patenlab/mira/phoenix_batch_executions/workflows/applyPolish/PAN027_patched_mat_DV_pass/analysis/applyPolish_outputs/PAN027_patched_mat_DV_pass_mat.polished.fasta,--hifi,FALSE,21,--cs --eqx,minimap2,"[""/private/groups/migalab/mcechova/element/washu-ucsc/bases2fastq/KOL-0841__c22b964ca76a4e40b297dff6b3b37007/Samples/6807/6807_R1.fastq.gz"",""/private/groups/migalab/mcechova/element/washu-ucsc/bases2fastq/KOL-0841__c22b964ca76a4e40b297dff6b3b37007/Samples/6807/6807_R2.fastq.gz""]",minimap2_2.27-r1193,mobinasri/long_read_aligner:v0.4.0
PAN027_ele_to_PAN027_patched_DV_pat,--maxDiv 0.04,sr,/private/groups/patenlab/mira/phoenix_batch_executions/workflows/applyPolish/PAN027_patched_pat_DV_pass/analysis/applyPolish_outputs/PAN027_patched_pat_DV_pass_pat.polished.fasta,--hifi,FALSE,21,--cs --eqx,minimap2,"[""/private/groups/migalab/mcechova/element/washu-ucsc/bases2fastq/KOL-0841__c22b964ca76a4e40b297dff6b3b37007/Samples/6807/6807_R1.fastq.gz"",""/private/groups/migalab/mcechova/element/washu-ucsc/bases2fastq/KOL-0841__c22b964ca76a4e40b297dff6b3b37007/Samples/6807/6807_R2.fastq.gz""]",minimap2_2.27-r1193,mobinasri/long_read_aligner:v0.4.0
PAN010_ele_to_PAN027_patched_DV_mat,--maxDiv 0.04,sr,/private/groups/patenlab/mira/phoenix_batch_executions/workflows/applyPolish/PAN027_patched_mat_DV_pass/analysis/applyPolish_outputs/PAN027_patched_mat_DV_pass_mat.polished.fasta,--hifi,FALSE,21,--cs --eqx,minimap2,"[""/private/groups/migalab/mcechova/element/washu-ucsc/bases2fastq/KOL-0872__dc8df09cedb341d19649fd46048aee5d/Samples/6803/6803_R1.fastq.gz"",""/private/groups/migalab/mcechova/element/washu-ucsc/bases2fastq/KOL-0872__dc8df09cedb341d19649fd46048aee5d/Samples/6803/6803_R2.fastq.gz""]",minimap2_2.27-r1193,mobinasri/long_read_aligner:v0.4.0
PAN010_ele_to_PAN027_patched_DV_pat,--maxDiv 0.04,sr,/private/groups/patenlab/mira/phoenix_batch_executions/workflows/applyPolish/PAN027_patched_pat_DV_pass/analysis/applyPolish_outputs/PAN027_patched_pat_DV_pass_pat.polished.fasta,--hifi,FALSE,21,--cs --eqx,minimap2,"[""/private/groups/migalab/mcechova/element/washu-ucsc/bases2fastq/KOL-0872__dc8df09cedb341d19649fd46048aee5d/Samples/6803/6803_R1.fastq.gz"",""/private/groups/migalab/mcechova/element/washu-ucsc/bases2fastq/KOL-0872__dc8df09cedb341d19649fd46048aee5d/Samples/6803/6803_R2.fastq.gz""]",minimap2_2.27-r1193,mobinasri/long_read_aligner:v0.4.0
PAN011_ele_to_PAN027_patched_DV_mat,--maxDiv 0.04,sr,/private/groups/patenlab/mira/phoenix_batch_executions/workflows/applyPolish/PAN027_patched_mat_DV_pass/analysis/applyPolish_outputs/PAN027_patched_mat_DV_pass_mat.polished.fasta,--hifi,FALSE,21,--cs --eqx,minimap2,"[""/private/groups/migalab/mcechova/element/washu-ucsc/bases2fastq/KOL-0830__3f44a552ae284f5e8b88c5939374ad05/Samples/6804/6804_R1.fastq.gz"",""/private/groups/migalab/mcechova/element/washu-ucsc/bases2fastq/KOL-0830__3f44a552ae284f5e8b88c5939374ad05/Samples/6804/6804_R2.fastq.gz""]",minimap2_2.27-r1193,mobinasri/long_read_aligner:v0.4.0
PAN011_ele_to_PAN027_patched_DV_pat,--maxDiv 0.04,sr,/private/groups/patenlab/mira/phoenix_batch_executions/workflows/applyPolish/PAN027_patched_pat_DV_pass/analysis/applyPolish_outputs/PAN027_patched_pat_DV_pass_pat.polished.fasta,--hifi,FALSE,21,--cs --eqx,minimap2,"[""/private/groups/migalab/mcechova/element/washu-ucsc/bases2fastq/KOL-0830__3f44a552ae284f5e8b88c5939374ad05/Samples/6804/6804_R1.fastq.gz"",""/private/groups/migalab/mcechova/element/washu-ucsc/bases2fastq/KOL-0830__3f44a552ae284f5e8b88c5939374ad05/Samples/6804/6804_R2.fastq.gz""]",minimap2_2.27-r1193,mobinasri/long_read_aligner:v0.4.0
PAN027_ele_to_PAN027_raw_mat,--maxDiv 0.04,sr,/private/groups/migalab/mcechova/pedigree_assemblies/verkko2.0/assembly_release/diploid/assembly.v1.0.PAN027.maternal.fa,--hifi,FALSE,21,--cs --eqx,minimap2,"[""/private/groups/migalab/mcechova/element/washu-ucsc/bases2fastq/KOL-0841__c22b964ca76a4e40b297dff6b3b37007/Samples/6807/6807_R1.fastq.gz"",""/private/groups/migalab/mcechova/element/washu-ucsc/bases2fastq/KOL-0841__c22b964ca76a4e40b297dff6b3b37007/Samples/6807/6807_R2.fastq.gz""]",minimap2_2.27-r1193,mobinasri/long_read_aligner:v0.4.0
PAN027_ele_to_PAN027_raw_pat,--maxDiv 0.04,sr,/private/groups/migalab/mcechova/pedigree_assemblies/verkko2.0/assembly_release/diploid/assembly.v1.0.PAN027.paternal.fa,--hifi,FALSE,21,--cs --eqx,minimap2,"[""/private/groups/migalab/mcechova/element/washu-ucsc/bases2fastq/KOL-0841__c22b964ca76a4e40b297dff6b3b37007/Samples/6807/6807_R1.fastq.gz"",""/private/groups/migalab/mcechova/element/washu-ucsc/bases2fastq/KOL-0841__c22b964ca76a4e40b297dff6b3b37007/Samples/6807/6807_R2.fastq.gz""]",minimap2_2.27-r1193,mobinasri/long_read_aligner:v0.4.0
PAN010_ele_to_PAN027_raw_mat,--maxDiv 0.04,sr,/private/groups/migalab/mcechova/pedigree_assemblies/verkko2.0/assembly_release/diploid/assembly.v1.0.PAN027.maternal.fa,--hifi,FALSE,21,--cs --eqx,minimap2,"[""/private/groups/migalab/mcechova/element/washu-ucsc/bases2fastq/KOL-0872__dc8df09cedb341d19649fd46048aee5d/Samples/6803/6803_R1.fastq.gz"",""/private/groups/migalab/mcechova/element/washu-ucsc/bases2fastq/KOL-0872__dc8df09cedb341d19649fd46048aee5d/Samples/6803/6803_R2.fastq.gz""]",minimap2_2.27-r1193,mobinasri/long_read_aligner:v0.4.0
PAN010_ele_to_PAN027_raw_pat,--maxDiv 0.04,sr,/private/groups/migalab/mcechova/pedigree_assemblies/verkko2.0/assembly_release/diploid/assembly.v1.0.PAN027.paternal.fa,--hifi,FALSE,21,--cs --eqx,minimap2,"[""/private/groups/migalab/mcechova/element/washu-ucsc/bases2fastq/KOL-0872__dc8df09cedb341d19649fd46048aee5d/Samples/6803/6803_R1.fastq.gz"",""/private/groups/migalab/mcechova/element/washu-ucsc/bases2fastq/KOL-0872__dc8df09cedb341d19649fd46048aee5d/Samples/6803/6803_R2.fastq.gz""]",minimap2_2.27-r1193,mobinasri/long_read_aligner:v0.4.0
PAN011_ele_to_PAN027_raw_mat,--maxDiv 0.04,sr,/private/groups/migalab/mcechova/pedigree_assemblies/verkko2.0/assembly_release/diploid/assembly.v1.0.PAN027.maternal.fa,--hifi,FALSE,21,--cs --eqx,minimap2,"[""/private/groups/migalab/mcechova/element/washu-ucsc/bases2fastq/KOL-0830__3f44a552ae284f5e8b88c5939374ad05/Samples/6804/6804_R1.fastq.gz"",""/private/groups/migalab/mcechova/element/washu-ucsc/bases2fastq/KOL-0830__3f44a552ae284f5e8b88c5939374ad05/Samples/6804/6804_R2.fastq.gz""]",minimap2_2.27-r1193,mobinasri/long_read_aligner:v0.4.0
PAN011_ele_to_PAN027_raw_pat,--maxDiv 0.04,sr,/private/groups/migalab/mcechova/pedigree_assemblies/verkko2.0/assembly_release/diploid/assembly.v1.0.PAN027.paternal.fa,--hifi,FALSE,21,--cs --eqx,minimap2,"[""/private/groups/migalab/mcechova/element/washu-ucsc/bases2fastq/KOL-0830__3f44a552ae284f5e8b88c5939374ad05/Samples/6804/6804_R1.fastq.gz"",""/private/groups/migalab/mcechova/element/washu-ucsc/bases2fastq/KOL-0830__3f44a552ae284f5e8b88c5939374ad05/Samples/6804/6804_R2.fastq.gz""]",minimap2_2.27-r1193,mobinasri/long_read_aligner:v0.4.0
HG005_hifiasm_R10,--maxDiv 1,map-ont,/private/groups/patenlab/mira/hprc_polishing/data/HG005_y2_polishing/HG005.trio_hifiasm_0.19.5.DC_1.2_40x.dip.fa,--ont,TRUE,15,--eqx -Y -L,minimap2,"[""/private/nanopore/basecalled/HG005/05_17_22_R1041_HG005_UL_NEB_1_dorado0.8.1_sup4.1.0_5mCG_5hmCG.bam"",""/private/nanopore/basecalled/HG005/05_17_22_R1041_HG005_UL_NEB_2_dorado0.8.1_sup4.1.0_5mCG_5hmCG.bam"",""/private/nanopore/basecalled/HG005/05_17_22_R1041_HG005_UL_NEB_3_dorado0.8.1_sup4.1.0_5mCG_5hmCG.bam""]",minimap2_2.27-r1193,mobinasri/long_read_aligner:v0.4.0