sample_id,hap1_aws_fasta,hap2_aws_fasta,maternal_id,paternal_id,child_ilmn,mat_ilmn,pat_ilmn,maternalYak,paternalYak,referenceFasta
HG00438,s3://human-pangenomics/working/HPRC/HG00438/assemblies/year1_f1_assembly_v2_genbank/HG00438.paternal.f1_assembly_v2_genbank.fa.gz,s3://human-pangenomics/working/HPRC/HG00438/assemblies/year1_f1_assembly_v2_genbank/HG00438.maternal.f1_assembly_v2_genbank.fa.gz,HG00436,HG00437,['s3://human-pangenomics/working/HPRC/HG00438/raw_data/Illumina/child/HG00438.final.cram'],['s3://human-pangenomics/working/HPRC/HG00438/raw_data/Illumina/parents/HG00437/HG00437.final.cram'],['s3://human-pangenomics/working/HPRC/HG00438/raw_data/Illumina/parents/HG00436/HG00436.final.cram'],/private/groups/hprc/assembly/batch6/HG00438/analysis/trio_hifiasm_assembly_cutadapt_multistep_outputs/46f078b3-c7f8-425d-a4bc-7681c443bd92/HG00436.yak,/private/groups/hprc/assembly/batch6/HG00438/analysis/trio_hifiasm_assembly_cutadapt_multistep_outputs/9c5adb4e-102a-4357-bf90-2394df5f7f5a/HG00437.yak,/private/groups/hprc/ref_files/grch38/hs38DH.fa
HG00621,s3://human-pangenomics/working/HPRC/HG00621/assemblies/year1_f1_assembly_v2_genbank/HG00621.paternal.f1_assembly_v2_genbank.fa.gz,s3://human-pangenomics/working/HPRC/HG00621/assemblies/year1_f1_assembly_v2_genbank/HG00621.maternal.f1_assembly_v2_genbank.fa.gz,HG00620,HG00619,['s3://human-pangenomics/working/HPRC/HG00621/raw_data/Illumina/child/HG00621.final.cram'],['s3://human-pangenomics/working/HPRC/HG00621/raw_data/Illumina/parents/HG00620/HG00620.final.cram'],['s3://human-pangenomics/working/HPRC/HG00621/raw_data/Illumina/parents/HG00619/HG00619.final.cram'],/private/groups/hprc/assembly/batch3/HG00621/analysis/assembly/HG00620.yak,/private/groups/hprc/assembly/batch3/HG00621/analysis/assembly/HG00619.yak,/private/groups/hprc/ref_files/grch38/hs38DH.fa
HG00673,s3://human-pangenomics/working/HPRC/HG00673/assemblies/year1_f1_assembly_v2_genbank/HG00673.paternal.f1_assembly_v2_genbank.fa.gz,s3://human-pangenomics/working/HPRC/HG00673/assemblies/year1_f1_assembly_v2_genbank/HG00673.maternal.f1_assembly_v2_genbank.fa.gz,HG00671,HG00672,['s3://human-pangenomics/working/HPRC/HG00673/raw_data/Illumina/child/HG00673.final.cram'],['s3://human-pangenomics/working/HPRC/HG00673/raw_data/Illumina/parents/HG00672/HG00672.final.cram'],['s3://human-pangenomics/working/HPRC/HG00673/raw_data/Illumina/parents/HG00671/HG00671.final.cram'],/private/groups/hprc/assembly/batch6/HG00673/analysis/trio_hifiasm_assembly_cutadapt_multistep_outputs/f61afab1-cf34-4798-a868-d3bed1e6664f/HG00671.yak,/private/groups/hprc/assembly/batch6/HG00673/analysis/trio_hifiasm_assembly_cutadapt_multistep_outputs/38410dc1-24ef-4bf5-b43a-3a0a4e6cac4b/HG00672.yak,/private/groups/hprc/ref_files/grch38/hs38DH.fa
HG00735,s3://human-pangenomics/working/HPRC/HG00735/assemblies/year1_f1_assembly_v2_genbank/HG00735.paternal.f1_assembly_v2_genbank.fa.gz,s3://human-pangenomics/working/HPRC/HG00735/assemblies/year1_f1_assembly_v2_genbank/HG00735.maternal.f1_assembly_v2_genbank.fa.gz,HG00734,HG01047,['s3://human-pangenomics/working/HPRC/HG00735/raw_data/Illumina/child/HG00735.final.cram'],['s3://human-pangenomics/working/HPRC/HG00735/raw_data/Illumina/parents/HG00734/HG00734.final.cram'],['s3://human-pangenomics/working/HPRC/HG00735/raw_data/Illumina/parents/HG01047/HG01047.final.cram'],/private/groups/hprc/assembly/batch3/HG00735/analysis/assembly/HG00734.yak,/private/groups/hprc/assembly/batch3/HG00735/analysis/assembly/HG01047.yak,/private/groups/hprc/ref_files/grch38/hs38DH.fa
HG00741,s3://human-pangenomics/working/HPRC/HG00741/assemblies/year1_f1_assembly_v2_genbank/HG00741.paternal.f1_assembly_v2_genbank.fa.gz,s3://human-pangenomics/working/HPRC/HG00741/assemblies/year1_f1_assembly_v2_genbank/HG00741.maternal.f1_assembly_v2_genbank.fa.gz,HG00740,HG00739,['s3://human-pangenomics/working/HPRC/HG00741/raw_data/Illumina/child/HG00741.final.cram'],['s3://human-pangenomics/working/HPRC/HG00741/raw_data/Illumina/parents/HG00740/HG00740.final.cram'],['s3://human-pangenomics/working/HPRC/HG00741/raw_data/Illumina/parents/HG00739/HG00739.final.cram'],/private/groups/hprc/assembly/batch3/HG00741/analysis/assembly/HG00740.yak,/private/groups/hprc/assembly/batch3/HG00741/analysis/assembly/HG00739.yak,/private/groups/hprc/ref_files/grch38/hs38DH.fa
HG01071,s3://human-pangenomics/working/HPRC/HG01071/assemblies/year1_f1_assembly_v2_genbank/HG01071.paternal.f1_assembly_v2_genbank.fa.gz,s3://human-pangenomics/working/HPRC/HG01071/assemblies/year1_f1_assembly_v2_genbank/HG01071.maternal.f1_assembly_v2_genbank.fa.gz,HG01069,HG01070,['s3://human-pangenomics/working/HPRC/HG01071/raw_data/Illumina/child/HG01071.final.cram'],['s3://human-pangenomics/working/HPRC/HG01071/raw_data/Illumina/parents/HG01070/HG01070.final.cram'],['s3://human-pangenomics/working/HPRC/HG01071/raw_data/Illumina/parents/HG01069/HG01069.final.cram'],/private/groups/hprc/assembly/batch6/HG01071/analysis/trio_hifiasm_assembly_cutadapt_multistep_outputs/f1ee8133-6f6e-4d13-a85a-8cb8821cde17/HG01069.yak,/private/groups/hprc/assembly/batch6/HG01071/analysis/trio_hifiasm_assembly_cutadapt_multistep_outputs/7d419777-a3c4-4380-8134-badd6022e6b1/HG01070.yak,/private/groups/hprc/ref_files/grch38/hs38DH.fa
HG01106,s3://human-pangenomics/working/HPRC/HG01106/assemblies/year1_f1_assembly_v2_genbank/HG01106.paternal.f1_assembly_v2_genbank.fa.gz,s3://human-pangenomics/working/HPRC/HG01106/assemblies/year1_f1_assembly_v2_genbank/HG01106.maternal.f1_assembly_v2_genbank.fa.gz,HG01105,HG01104,['s3://human-pangenomics/working/HPRC/HG01106/raw_data/Illumina/child/HG01106.final.cram'],['s3://human-pangenomics/working/HPRC/HG01106/raw_data/Illumina/parents/HG01105/HG01105.final.cram'],['s3://human-pangenomics/working/HPRC/HG01106/raw_data/Illumina/parents/HG01104/HG01104.final.cram'],/private/groups/hprc/assembly/batch3/HG01106/analysis/assembly/HG01105.yak,/private/groups/hprc/assembly/batch3/HG01106/analysis/assembly/HG01104.yak,/private/groups/hprc/ref_files/grch38/hs38DH.fa
HG01123,s3://human-pangenomics/working/HPRC/HG01123/assemblies/year1_f1_assembly_v2_genbank/HG01123.paternal.f1_assembly_v2_genbank.fa.gz,s3://human-pangenomics/working/HPRC/HG01123/assemblies/year1_f1_assembly_v2_genbank/HG01123.maternal.f1_assembly_v2_genbank.fa.gz,HG01122,HG01121,"['s3://human-pangenomics/submissions/30E441F3-6820-4BF6-BCF4-E64D56C8D6A4--TRUSEQ/HG01123/raw_data/Illumina/child/HG01123-111121_S1_L001_R1_001.fastq.gz','s3://human-pangenomics/submissions/30E441F3-6820-4BF6-BCF4-E64D56C8D6A4--TRUSEQ/HG01123/raw_data/Illumina/child/HG01123-111121_S1_L001_R2_001.fastq.gz']",['s3://human-pangenomics/working/HPRC/HG01123/raw_data/Illumina/parents/HG01122/HG01122.final.cram'],['s3://human-pangenomics/working/HPRC/HG01123/raw_data/Illumina/parents/HG01121/HG01121.final.cram'],/private/groups/hprc/assembly/batch6/HG01123/analysis/trio_hifiasm_assembly_cutadapt_multistep_outputs/1e370bfd-1700-419f-b0e2-42c681c6c10d/HG01122.yak,/private/groups/hprc/assembly/batch6/HG01123/analysis/trio_hifiasm_assembly_cutadapt_multistep_outputs/8e4a7ff6-117a-4f86-bc84-606885317922/HG01121.yak,/private/groups/hprc/ref_files/grch38/hs38DH.fa
HG01175,s3://human-pangenomics/working/HPRC/HG01175/assemblies/year1_f1_assembly_v2_genbank/HG01175.paternal.f1_assembly_v2_genbank.fa.gz,s3://human-pangenomics/working/HPRC/HG01175/assemblies/year1_f1_assembly_v2_genbank/HG01175.maternal.f1_assembly_v2_genbank.fa.gz,HG01174,HG01173,['s3://human-pangenomics/working/HPRC/HG01175/raw_data/Illumina/child/HG01175.final.cram'],['s3://human-pangenomics/working/HPRC/HG01175/raw_data/Illumina/parents/HG01174/HG01174.final.cram'],['s3://human-pangenomics/working/HPRC/HG01175/raw_data/Illumina/parents/HG01173/HG01173.final.cram'],/private/groups/hprc/assembly/batch3/HG01175/analysis/assembly/HG01174.yak,/private/groups/hprc/assembly/batch3/HG01175/analysis/assembly/HG01173.yak,/private/groups/hprc/ref_files/grch38/hs38DH.fa
HG01258,s3://human-pangenomics/working/HPRC/HG01258/assemblies/year1_f1_assembly_v2_genbank/HG01258.paternal.f1_assembly_v2_genbank.fa.gz,s3://human-pangenomics/working/HPRC/HG01258/assemblies/year1_f1_assembly_v2_genbank/HG01258.maternal.f1_assembly_v2_genbank.fa.gz,HG01257,HG01256,['s3://human-pangenomics/working/HPRC/HG01258/raw_data/Illumina/child/HG01258.final.cram'],['s3://human-pangenomics/working/HPRC/HG01258/raw_data/Illumina/parents/HG01257/HG01257.final.cram'],['s3://human-pangenomics/working/HPRC/HG01258/raw_data/Illumina/parents/HG01256/HG01256.final.cram'],/private/groups/hprc/assembly/batch3/HG01258/analysis/assembly/HG01257.yak,/private/groups/hprc/assembly/batch3/HG01258/analysis/assembly/HG01256.yak,/private/groups/hprc/ref_files/grch38/hs38DH.fa
HG01358,s3://human-pangenomics/working/HPRC/HG01358/assemblies/year1_f1_assembly_v2_genbank/HG01358.paternal.f1_assembly_v2_genbank.fa.gz,s3://human-pangenomics/working/HPRC/HG01358/assemblies/year1_f1_assembly_v2_genbank/HG01358.maternal.f1_assembly_v2_genbank.fa.gz,HG01356,HG01357,['s3://human-pangenomics/working/HPRC/HG01358/raw_data/Illumina/child/HG01358.final.cram'],['s3://human-pangenomics/working/HPRC/HG01358/raw_data/Illumina/parents/HG01357/HG01357.final.cram'],['s3://human-pangenomics/working/HPRC/HG01358/raw_data/Illumina/parents/HG01356/HG01356.final.cram'],/private/groups/hprc/assembly/batch6/HG01358/analysis/trio_hifiasm_assembly_cutadapt_multistep_outputs/e4e70d93-681a-4068-999a-eee3f716bef5/HG01356.yak,/private/groups/hprc/assembly/batch6/HG01358/analysis/trio_hifiasm_assembly_cutadapt_multistep_outputs/89652444-0520-4d3c-8078-3804a59b8303/HG01357.yak,/private/groups/hprc/ref_files/grch38/hs38DH.fa
HG01361,s3://human-pangenomics/working/HPRC/HG01361/assemblies/year1_f1_assembly_v2_genbank/HG01361.paternal.f1_assembly_v2_genbank.fa.gz,s3://human-pangenomics/working/HPRC/HG01361/assemblies/year1_f1_assembly_v2_genbank/HG01361.maternal.f1_assembly_v2_genbank.fa.gz,HG01359,HG01360,['s3://human-pangenomics/working/HPRC/HG01361/raw_data/Illumina/child/HG01361.final.cram'],['s3://human-pangenomics/working/HPRC/HG01361/raw_data/Illumina/parents/HG01360/HG01360.final.cram'],['s3://human-pangenomics/working/HPRC/HG01361/raw_data/Illumina/parents/HG01359/HG01359.final.cram'],/private/groups/hprc/assembly/batch6/HG01361/analysis/trio_hifiasm_assembly_cutadapt_multistep_outputs/5d6ca6cd-fcb6-47ba-951c-e4a56994dabd/HG01359.yak,/private/groups/hprc/assembly/batch6/HG01361/analysis/trio_hifiasm_assembly_cutadapt_multistep_outputs/d0e872cb-47eb-49d1-a5f3-abda4a89c2cb/HG01360.yak,/private/groups/hprc/ref_files/grch38/hs38DH.fa
HG01891,s3://human-pangenomics/working/HPRC/HG01891/assemblies/year1_f1_assembly_v2_genbank/HG01891.paternal.f1_assembly_v2_genbank.fa.gz,s3://human-pangenomics/working/HPRC/HG01891/assemblies/year1_f1_assembly_v2_genbank/HG01891.maternal.f1_assembly_v2_genbank.fa.gz,HG01889,HG01890,['s3://human-pangenomics/working/HPRC/HG01891/raw_data/Illumina/child/HG01891.final.cram'],['s3://human-pangenomics/working/HPRC/HG01891/raw_data/Illumina/parents/HG01889/HG01889.final.cram'],['s3://human-pangenomics/working/HPRC/HG01891/raw_data/Illumina/parents/HG01890/HG01890.final.cram'],/private/groups/hprc/assembly/batch3/HG01891/analysis/assembly/HG01889.yak,/private/groups/hprc/assembly/batch3/HG01891/analysis/assembly/HG01890.yak,/private/groups/hprc/ref_files/grch38/hs38DH.fa
HG01928,s3://human-pangenomics/working/HPRC/HG01928/assemblies/year1_f1_assembly_v2_genbank/HG01928.paternal.f1_assembly_v2_genbank.fa.gz,s3://human-pangenomics/working/HPRC/HG01928/assemblies/year1_f1_assembly_v2_genbank/HG01928.maternal.f1_assembly_v2_genbank.fa.gz,HG01926,HG01927,['s3://human-pangenomics/working/HPRC/HG01928/raw_data/Illumina/child/HG01928.final.cram'],['s3://human-pangenomics/working/HPRC/HG01928/raw_data/Illumina/parents/HG01927/HG01927.final.cram'],['s3://human-pangenomics/working/HPRC/HG01928/raw_data/Illumina/parents/HG01926/HG01926.final.cram'],/private/groups/hprc/assembly/batch6/HG01928/analysis/trio_hifiasm_assembly_cutadapt_multistep_outputs/5db1d4b4-e585-4b2c-b5e7-7c413fe12db9/HG01926.yak,/private/groups/hprc/assembly/batch6/HG01928/analysis/trio_hifiasm_assembly_cutadapt_multistep_outputs/cfd61f22-bf2d-461b-b340-c88e669ec1e9/HG01927.yak,/private/groups/hprc/ref_files/grch38/hs38DH.fa
HG01952,s3://human-pangenomics/working/HPRC/HG01952/assemblies/year1_f1_assembly_v2_genbank/HG01952.paternal.f1_assembly_v2_genbank.fa.gz,s3://human-pangenomics/working/HPRC/HG01952/assemblies/year1_f1_assembly_v2_genbank/HG01952.maternal.f1_assembly_v2_genbank.fa.gz,HG01951,HG01950,['s3://human-pangenomics/working/HPRC/HG01952/raw_data/Illumina/child/HG01952.final.cram'],['s3://human-pangenomics/working/HPRC/HG01952/raw_data/Illumina/parents/HG01951/HG01951.final.cram'],['s3://human-pangenomics/working/HPRC/HG01952/raw_data/Illumina/parents/HG01950/HG01950.final.cram'],/private/groups/hprc/assembly/batch3/HG01952/analysis/assembly/HG01951.yak,/private/groups/hprc/assembly/batch3/HG01952/analysis/assembly/HG01950.yak,/private/groups/hprc/ref_files/grch38/hs38DH.fa
HG01978,s3://human-pangenomics/working/HPRC/HG01978/assemblies/year1_f1_assembly_v2_genbank/HG01978.paternal.f1_assembly_v2_genbank.fa.gz,s3://human-pangenomics/working/HPRC/HG01978/assemblies/year1_f1_assembly_v2_genbank/HG01978.maternal.f1_assembly_v2_genbank.fa.gz,HG01977,HG01976,['s3://human-pangenomics/working/HPRC/HG01978/raw_data/Illumina/child/HG01978.final.cram'],['s3://human-pangenomics/working/HPRC/HG01978/raw_data/Illumina/parents/HG01976/HG01976.final.cram'],['s3://human-pangenomics/working/HPRC/HG01978/raw_data/Illumina/parents/HG01977/HG01977.final.cram'],/private/groups/hprc/assembly/batch6/HG01978/analysis/trio_hifiasm_assembly_cutadapt_multistep_outputs/2874baa1-2e73-4c02-a3cd-2e6c82a2ea61/HG01977.yak,/private/groups/hprc/assembly/batch6/HG01978/analysis/trio_hifiasm_assembly_cutadapt_multistep_outputs/725c307c-449a-400a-837c-0260c584347d/HG01976.yak,/private/groups/hprc/ref_files/grch38/hs38DH.fa
HG02148,s3://human-pangenomics/working/HPRC/HG02148/assemblies/year1_f1_assembly_v2_genbank/HG02148.paternal.f1_assembly_v2_genbank.fa.gz,s3://human-pangenomics/working/HPRC/HG02148/assemblies/year1_f1_assembly_v2_genbank/HG02148.maternal.f1_assembly_v2_genbank.fa.gz,HG02147,HG02146,['s3://human-pangenomics/working/HPRC/HG02148/raw_data/Illumina/child/HG02148.final.cram'],['s3://human-pangenomics/working/HPRC/HG02148/raw_data/Illumina/parents/HG02147/HG02147.final.cram'],['s3://human-pangenomics/working/HPRC/HG02148/raw_data/Illumina/parents/HG02146/HG02146.final.cram'],/private/groups/hprc/assembly/batch3/HG02148/analysis/assembly/HG02147.yak,/private/groups/hprc/assembly/batch3/HG02148/analysis/assembly/HG02146.yak,/private/groups/hprc/ref_files/grch38/hs38DH.fa
HG02257,s3://human-pangenomics/working/HPRC/HG02257/assemblies/year1_f1_assembly_v2_genbank/HG02257.paternal.f1_assembly_v2_genbank.fa.gz,s3://human-pangenomics/working/HPRC/HG02257/assemblies/year1_f1_assembly_v2_genbank/HG02257.maternal.f1_assembly_v2_genbank.fa.gz,HG02255,HG02256,['s3://human-pangenomics/working/HPRC/HG02257/raw_data/Illumina/child/HG02257.final.cram'],['s3://human-pangenomics/working/HPRC/HG02257/raw_data/Illumina/parents/HG02256/HG02256.final.cram'],['s3://human-pangenomics/working/HPRC/HG02257/raw_data/Illumina/parents/HG02255/HG02255.final.cram'],/private/groups/hprc/assembly/batch6/HG02257/analysis/trio_hifiasm_assembly_cutadapt_multistep_outputs/064de5dc-001f-4336-9470-21632625162c/HG02255.yak,/private/groups/hprc/assembly/batch6/HG02257/analysis/trio_hifiasm_assembly_cutadapt_multistep_outputs/0c649fa6-5aa8-410f-987b-bf47d5377e5f/HG02256.yak,/private/groups/hprc/ref_files/grch38/hs38DH.fa
HG02486,s3://human-pangenomics/working/HPRC/HG02486/assemblies/year1_f1_assembly_v2_genbank/HG02486.paternal.f1_assembly_v2_genbank.fa.gz,s3://human-pangenomics/working/HPRC/HG02486/assemblies/year1_f1_assembly_v2_genbank/HG02486.maternal.f1_assembly_v2_genbank.fa.gz,HG02485,HG02484,"['s3://human-pangenomics/submissions/30E441F3-6820-4BF6-BCF4-E64D56C8D6A4--TRUSEQ/HG02486/raw_data/Illumina/child/HG02486-111121_S6_L002_R1_001.fastq.gz','s3://human-pangenomics/submissions/30E441F3-6820-4BF6-BCF4-E64D56C8D6A4--TRUSEQ/HG02486/raw_data/Illumina/child/HG02486-111121_S6_L002_R2_001.fastq.gz']",['s3://human-pangenomics/working/HPRC/HG02486/raw_data/Illumina/parents/HG02485/HG02485.final.cram'],['s3://human-pangenomics/working/HPRC/HG02486/raw_data/Illumina/parents/HG02484/HG02484.final.cram'],/private/groups/hprc/assembly/batch3/HG02486/analysis/assembly/HG02485.yak,/private/groups/hprc/assembly/batch3/HG02486/analysis/assembly/HG02484.yak,/private/groups/hprc/ref_files/grch38/hs38DH.fa
